name,city,state,latitude,longitude,populationDensity,trafficVolume,commercialScore,evScore,hasExistingStation,stationType,routeCoverage,nearbyPOIs
Victoria Island,Lagos,Lagos,6.4281,3.4219,78,92,97,74,true,dcfast,58,"Banks,Hotels,Embassies,Offices,Restaurants"
Lekki Phase 1,Lagos,Lagos,6.4335,3.4737,74,88,86,68,false,none,28,"Shopping Malls,Restaurants,Estates"
Ikeja,Lagos,Lagos,6.6018,3.3515,88,91,84,58,true,level2,48,"Airport,GRA,Computer Village,Banks"
Ikoyi,Lagos,Lagos,6.4550,3.4372,62,74,91,78,false,none,38,"Embassies,Luxury Hotels,Private Estates"
Yaba,Lagos,Lagos,6.5095,3.3711,87,80,74,54,false,none,22,"University of Lagos,Tech Hubs,Hospitals"
Surulere,Lagos,Lagos,6.5034,3.3534,91,78,70,42,false,none,18,"Markets,Stadiums,Residential"
Oshodi,Lagos,Lagos,6.5574,3.3490,95,94,78,35,false,none,14,"Transport Hub,Markets,Bus Terminals"
Apapa,Lagos,Lagos,6.4490,3.3590,68,86,80,40,false,none,18,"Seaport,Logistics Hubs,Warehouses"
Marina,Lagos,Lagos,6.4510,3.3900,58,84,93,63,false,none,32,"CBN,Stock Exchange,Law Firms,Banks"
Gbagada,Lagos,Lagos,6.5500,3.3800,83,73,66,42,false,none,16,"Estates,Hospitals,Markets"
Lekki Phase 2,Lagos,Lagos,6.4500,3.5300,68,70,68,48,false,none,18,"Estates,Shopping Centres"
Ajah,Lagos,Lagos,6.4700,3.5800,72,68,63,38,false,none,10,"Markets,Residential,Bus Stops"
Epe,Lagos,Lagos,6.5874,3.9765,38,42,38,18,false,none,4,"Fish Market,Farms,Town Centre"
Badagry,Lagos,Lagos,6.4167,2.8833,42,44,34,16,false,none,4,"Border Town,Market,Heritage Sites"
Maitama,Abuja,FCT,9.0820,7.4836,56,70,89,76,true,dcfast,52,"Embassies,Ministries,Luxury Restaurants,Hotels"
Wuse 2,Abuja,FCT,9.0670,7.4833,62,76,91,72,false,none,38,"Banks,Shops,Offices,Restaurants"
Central Business District,Abuja,FCT,9.0575,7.4951,48,83,95,80,true,level2,58,"Government Offices,Banks,Hotels,Conference Centres"
Garki,Abuja,FCT,9.0556,7.4834,67,78,82,64,false,none,34,"Offices,Markets,Banks"
Asokoro,Abuja,FCT,9.0327,7.5248,52,66,80,72,false,none,28,"State House,Diplomatic Zone,Luxury Estates"
Jabi,Abuja,FCT,9.0723,7.4415,60,73,84,66,false,none,36,"Jabi Mall,Lake,Restaurants,Cinemas"
Utako,Abuja,FCT,9.0812,7.4596,62,70,78,60,false,none,30,"Offices,Supermarkets,Banks"
Gwarinpa,Abuja,FCT,9.1200,7.4200,78,62,58,48,false,none,18,"Estates,Schools,Markets"
Kubwa,Abuja,FCT,9.1539,7.3226,80,58,52,32,false,none,8,"Satellite Town,Markets,Schools"
Nyanya,Abuja,FCT,9.0167,7.5500,83,68,56,30,false,none,7,"Transport Hub,Markets,Residential"
Lugbe,Abuja,FCT,8.9800,7.3900,70,54,48,26,false,none,10,"Airport Road,Estates,Markets"
Kado,Abuja,FCT,9.0900,7.4100,56,58,62,52,false,none,20,"Kado Estate,Fish Market,Offices"
GRA Phase 2,Port Harcourt,Rivers,4.8242,7.0336,62,76,87,60,true,level2,42,"Hotels,Banks,Restaurants,Offices"
Trans Amadi,Port Harcourt,Rivers,4.8500,7.0200,55,83,89,56,false,none,28,"Oil Companies,Industries,Logistics"
Old GRA,Port Harcourt,Rivers,4.8150,7.0250,52,68,82,62,false,none,34,"Estates,Embassies,Offices"
Peter Odili Road,Port Harcourt,Rivers,4.8400,7.0400,67,78,76,50,false,none,26,"Government Offices,Hotels,Banks"
Mile 1,Port Harcourt,Rivers,4.8100,7.0150,90,86,80,36,false,none,16,"Markets,Terminals,Bus Stops"
Rumuola,Port Harcourt,Rivers,4.8800,7.0100,73,68,70,46,false,none,18,"Residential,Schools,Markets"
Diobu,Port Harcourt,Rivers,4.8200,7.0000,86,70,66,38,false,none,13,"Markets,Residential,Clinics"
Eleme,Port Harcourt,Rivers,4.7833,7.1500,48,62,73,43,false,none,9,"NNPC Refinery,Petrochemicals,Industrial"
Rumuokoro,Port Harcourt,Rivers,4.8700,7.0500,76,66,62,40,false,none,11,"Junction,Markets,Estates"
Woji,Port Harcourt,Rivers,4.8600,7.0600,70,60,58,36,false,none,7,"Estates,Schools,Clinics"
Sabon Gari,Kano,Kano,12.0022,8.5196,93,86,84,28,false,none,13,"Markets,Hotels,Restaurants,Shops"
Kano City Centre,Kano,Kano,12.0454,8.5278,89,84,87,26,true,level1,18,"Emir Palace,Markets,Banks,Offices"
Nassarawa,Kano,Kano,12.0200,8.5500,78,73,76,30,false,none,11,"Residential,Schools,Markets"
Fagge,Kano,Kano,12.0300,8.5200,86,80,78,28,false,none,9,"Dense Markets,Transport Hub,Shops"
BUK Road,Kano,Kano,12.0073,8.4732,68,63,58,33,false,none,7,"Bayero University,Hospitals,Cafes"
Kano Airport Area,Kano,Kano,12.0476,8.5240,42,68,70,38,false,none,23,"Airport,Hotels,Logistics"
Challawa,Kano,Kano,12.0600,8.4900,58,65,68,26,false,none,5,"Industrial Estate,Factories,Warehouses"
Bompai,Kano,Kano,12.0700,8.5300,52,62,65,24,false,none,4,"Industrial Area,Warehouses"
Gwale,Kano,Kano,11.9900,8.5100,83,68,63,20,false,none,7,"Dense Residential,Markets"
Tarauni,Kano,Kano,12.0100,8.5700,80,60,56,18,false,none,4,"Residential,Schools"
Dala,Kano,Kano,12.0350,8.4800,76,58,58,20,false,none,5,"Residential,Markets,Industries"
Hotoro,Kano,Kano,12.0500,8.5600,70,56,52,16,false,none,3,"Residential,Markets"
Bodija,Ibadan,Oyo,7.4167,3.9000,80,73,76,36,false,none,16,"Market,Estates,Schools"
Challenge,Ibadan,Oyo,7.3775,3.9470,86,80,78,33,false,none,11,"Roundabout Junction,Markets,Shops"
Dugbe,Ibadan,Oyo,7.3822,3.9068,83,86,89,30,true,level1,23,"CBD,Banks,Markets,Offices"
UI Road,Ibadan,Oyo,7.4460,3.9020,68,66,63,40,false,none,18,"University of Ibadan,Teaching Hospital,Cafes"
Ring Road,Ibadan,Oyo,7.3900,3.9100,76,78,73,28,false,none,13,"Junction,Banks,Shops,Markets"
Agodi,Ibadan,Oyo,7.4000,3.9000,58,62,68,35,false,none,20,"Government Secretariat,GRA,Parks"
Ungwan Rimi,Kaduna,Kaduna,10.5222,7.4383,70,68,76,33,false,none,14,"GRA,Government Offices,Schools"
Kaduna CBD,Kaduna,Kaduna,10.5205,7.4415,63,78,87,38,true,level2,28,"Markets,Banks,Offices,Hotels"
Kawo,Kaduna,Kaduna,10.5500,7.4500,78,70,63,26,false,none,9,"Residential,Markets,Schools"
Barnawa,Kaduna,Kaduna,10.4800,7.4200,73,63,58,23,false,none,7,"Estates,Schools,Markets"
Malali,Kaduna,Kaduna,10.5400,7.4300,68,60,56,24,false,none,6,"Residential,Markets"
GRA Enugu,Enugu,Enugu,6.4483,7.5134,58,63,74,40,false,none,20,"Government Buildings,Estates,Hotels"
Enugu CBD,Enugu,Enugu,6.4527,7.5107,56,76,84,36,true,level1,26,"Banks,Offices,Markets,Hotels"
Ogui Road,Enugu,Enugu,6.4600,7.5200,73,70,68,33,false,none,13,"Markets,Shops,Residential"
Independence Layout,Enugu,Enugu,6.4400,7.5000,63,66,70,38,false,none,16,"Estates,Schools,Supermarkets"
New Haven,Enugu,Enugu,6.4350,7.4950,68,64,72,35,false,none,18,"Shopping Mall,Estates,Banks"
Rayfield,Jos,Plateau,9.8808,8.8583,52,56,63,28,false,none,11,"Estates,Hotels,Recreational"
Jos CBD,Jos,Plateau,9.9167,8.8833,66,70,79,30,false,none,16,"Markets,Banks,Offices,Hotels"
Tudun Wada,Jos,Plateau,9.9300,8.8900,76,63,58,23,false,none,7,"Residential,Markets,Schools"
Anglo Jos,Jos,Plateau,9.9000,8.8700,60,58,62,26,false,none,9,"Estates,Schools,Clinics"
Maiduguri CBD,Maiduguri,Borno,11.8311,13.1509,68,66,70,16,false,none,9,"Market,Government Offices,Banks"
GRA Maiduguri,Maiduguri,Borno,11.8450,13.1600,46,52,58,18,false,none,7,"Estates,Government Buildings"
Customs Road,Maiduguri,Borno,11.8200,13.1400,60,58,63,14,false,none,4,"Markets,Shops,Transport"
Bolori,Maiduguri,Borno,11.8550,13.1450,54,48,48,12,false,none,3,"Residential,Markets"
Kuto,Abeokuta,Ogun,7.1557,3.3451,70,68,73,30,false,none,13,"Market,Bus Terminal,Banks"
Abeokuta CBD,Abeokuta,Ogun,7.1608,3.3476,60,73,80,33,false,none,18,"Olusegun Obasanjo Library,Banks,Offices"
Sapon,Abeokuta,Ogun,7.1700,3.3600,76,63,63,26,false,none,9,"Residential,Markets,Schools"
